Date,Open,High,Low,Close,Adj Close,Volume
2/13/2018,26.110001,26.110001,26.110001,26.110001,22.722452,0
2/14/2018,26.450001,26.450001,26.450001,26.450001,23.018343,0
2/15/2018,26.780001,26.780001,26.780001,26.780001,23.305527,0
2/16/2018,26.790001,26.790001,26.790001,26.790001,23.31423,0
2/20/2018,26.67,26.67,26.67,26.67,23.209797,0
2/21/2018,26.549999,26.549999,26.549999,26.549999,23.10537,0
2/22/2018,26.540001,26.540001,26.540001,26.540001,23.096664,0
2/23/2018,26.959999,26.959999,26.959999,26.959999,23.462173,0
2/26/2018,27.25,27.25,27.25,27.25,23.714548,0
2/27/2018,26.9,26.9,26.9,26.9,23.409958,0
2/28/2018,26.65,26.65,26.65,26.65,23.19239,0
3/1/2018,26.33,26.33,26.33,26.33,22.913908,0
3/2/2018,26.459999,26.459999,26.459999,26.459999,23.027042,0
3/5/2018,26.77,26.77,26.77,26.77,23.296825,0
3/6/2018,26.84,26.84,26.84,26.84,23.35774,0
3/7/2018,26.84,26.84,26.84,26.84,23.35774,0
3/8/2018,26.98,26.98,26.98,26.98,23.479578,0
3/9/2018,27.440001,27.440001,27.440001,27.440001,23.879898,0
3/12/2018,27.42,27.42,27.42,27.42,23.862492,0
3/13/2018,27.23,27.23,27.23,27.23,23.697142,0
3/14/2018,27.1,27.1,27.1,27.1,23.584007,0
3/15/2018,27.1,27.1,27.1,27.1,23.584007,0
3/16/2018,27.110001,27.110001,27.110001,27.110001,23.592712,0
3/19/2018,26.719999,26.719999,26.719999,26.719999,23.253309,0
3/20/2018,26.77,26.77,26.77,26.77,23.296825,0
3/21/2018,26.719999,26.719999,26.719999,26.719999,23.253309,0
3/22/2018,26.049999,26.049999,26.049999,26.049999,22.670235,0
3/23/2018,25.52,25.52,25.52,25.52,22.209002,0
3/26/2018,26.200001,26.200001,26.200001,26.200001,22.800777,0
3/27/2018,25.73,25.73,25.73,25.73,22.391754,0
3/28/2018,25.66,25.66,25.66,25.66,22.330835,0
3/29/2018,26.01,26.01,26.01,26.01,22.635427,0
4/2/2018,25.42,25.42,25.42,25.42,22.121975,0
4/3/2018,25.74,25.74,25.74,25.74,22.400457,0
4/4/2018,26.030001,26.030001,26.030001,26.030001,22.652832,0
4/5/2018,26.23,26.23,26.23,26.23,22.826885,0
4/6/2018,25.65,25.65,25.65,25.65,22.322134,0
4/9/2018,25.74,25.74,25.74,25.74,22.400457,0
4/10/2018,26.15,26.15,26.15,26.15,22.757263,0
4/11/2018,26,26,26,26,22.626724,0
4/12/2018,26.209999,26.209999,26.209999,26.209999,22.809477,0
4/13/2018,26.129999,26.129999,26.129999,26.129999,22.739857,0
4/16/2018,26.360001,26.360001,26.360001,26.360001,22.940018,0
4/17/2018,26.67,26.67,26.67,26.67,23.209797,0
4/18/2018,26.719999,26.719999,26.719999,26.719999,23.253309,0
4/19/2018,26.57,26.57,26.57,26.57,23.122772,0
4/20/2018,26.35,26.35,26.35,26.35,22.931314,0
4/23/2018,26.34,26.34,26.34,26.34,22.922611,0
4/24/2018,25.969999,25.969999,25.969999,25.969999,22.600618,0
4/25/2018,26.030001,26.030001,26.030001,26.030001,22.652832,0
4/26/2018,26.32,26.32,26.32,26.32,22.905207,0
4/27/2018,26.34,26.34,26.34,26.34,22.922611,0
4/30/2018,26.120001,26.120001,26.120001,26.120001,22.731157,0
5/1/2018,26.200001,26.200001,26.200001,26.200001,22.800777,0
5/2/2018,26.030001,26.030001,26.030001,26.030001,22.652832,0
5/3/2018,25.969999,25.969999,25.969999,25.969999,22.600618,0
5/4/2018,26.32,26.32,26.32,26.32,22.905207,0
5/7/2018,26.42,26.42,26.42,26.42,22.992235,0
5/8/2018,26.41,26.41,26.41,26.41,22.983532,0
5/9/2018,26.65,26.65,26.65,26.65,23.19239,0
5/10/2018,26.879999,26.879999,26.879999,26.879999,23.392551,0
5/11/2018,26.9,26.9,26.9,26.9,23.409958,0
5/14/2018,26.940001,26.940001,26.940001,26.940001,23.444767,0
5/15/2018,26.75,26.75,26.75,26.75,23.279417,0
5/16/2018,26.84,26.84,26.84,26.84,23.35774,0
5/17/2018,26.82,26.82,26.82,26.82,23.340338,0
5/18/2018,26.75,26.75,26.75,26.75,23.279417,0
5/21/2018,26.940001,26.940001,26.940001,26.940001,23.444767,0
5/22/2018,26.860001,26.860001,26.860001,26.860001,23.375145,0
5/23/2018,26.940001,26.940001,26.940001,26.940001,23.444767,0
5/24/2018,26.879999,26.879999,26.879999,26.879999,23.392551,0
5/25/2018,26.85,26.85,26.85,26.85,23.366446,0
5/29/2018,26.530001,26.530001,26.530001,26.530001,23.087963,0
5/30/2018,26.85,26.85,26.85,26.85,23.366446,0
5/31/2018,26.690001,26.690001,26.690001,26.690001,23.227203,0
6/1/2018,26.99,26.99,26.99,26.99,23.488279,0
6/4/2018,27.129999,27.129999,27.129999,27.129999,23.610115,0
6/5/2018,27.16,27.16,27.16,27.16,23.636223,0
6/6/2018,27.4,27.4,27.4,27.4,23.845085,0
6/7/2018,27.360001,27.360001,27.360001,27.360001,23.810276,0
6/8/2018,27.450001,27.450001,27.450001,27.450001,23.888599,0
6/11/2018,27.48,27.48,27.48,27.48,23.914703,0
6/12/2018,27.52,27.52,27.52,27.52,23.949518,0
6/13/2018,27.42,27.42,27.42,27.42,23.862492,0
6/14/2018,27.530001,27.530001,27.530001,27.530001,23.958223,0
6/15/2018,27.52,27.52,27.52,27.52,23.949518,0
6/18/2018,27.469999,27.469999,27.469999,27.469999,23.906006,0
6/19/2018,27.370001,27.370001,27.370001,27.370001,23.818981,0
6/20/2018,27.43,27.43,27.43,27.43,23.871195,0
6/21/2018,27.27,27.27,27.27,27.27,23.731953,0
6/22/2018,27.309999,27.309999,27.309999,27.309999,23.766764,0
6/25/2018,26.92,26.92,26.92,26.92,23.427362,0
6/26/2018,26.969999,26.969999,26.969999,26.969999,23.470873,0
6/27/2018,26.709999,26.709999,26.709999,26.709999,23.244608,0
6/28/2018,26.9,26.9,26.9,26.9,23.409958,0
6/29/2018,26.950001,26.950001,26.950001,26.950001,23.45347,0
7/2/2018,27.040001,27.040001,27.040001,27.040001,23.531794,0
7/3/2018,26.9,26.9,26.9,26.9,23.409958,0
7/5/2018,27.139999,27.139999,27.139999,27.139999,23.61882,0
7/6/2018,27.389999,27.389999,27.389999,27.389999,23.836384,0
7/9/2018,27.629999,27.629999,27.629999,27.629999,24.045248,0
7/10/2018,27.719999,27.719999,27.719999,27.719999,24.123569,0
7/11/2018,27.530001,27.530001,27.530001,27.530001,23.958223,0
7/12/2018,27.76,27.76,27.76,27.76,24.158381,0
7/13/2018,27.77,27.77,27.77,27.77,24.167082,0
7/16/2018,27.75,27.75,27.75,27.75,24.149677,0
7/17/2018,27.879999,27.879999,27.879999,27.879999,24.262814,0
7/18/2018,27.940001,27.940001,27.940001,27.940001,24.315025,0
